 nombre_local; direccion; codigo_postal; ciudad; clientes_mensuales; telefono; numero_empleados; numero_platos_menu
  tacos exotico; Paseo de Gracia, 1911; 25556; Alicante; 968329; +34 666 843 456; 34; 95
  sopas original; Plaza del Sol, 5551; 49420; Barcelona; 27891; +34 666 414 456; 99; 36
  tacos casero; Plaza de Espanya, 5391; 44489; Murcia; 77096; +34 666 53 456; 11; 55
  bebidas rico; Plaza de Espanya, 4751; 26504; Murcia; 40891; +34 666 182 456; 71; 85
  frios innovador; Plaza del Sol, 571; 32452; Madrid; 338627; +34 666 581 456; 26; 25
  sushi casero; Plaza de Espanya, 6931; 57077; Barcelona; 832839; +34 666 617 456; 94; 59
  veganos delicioso; Avenida de la Paz, 1461; 50152; Valencia; 317316; +34 666 592 456; 19; 33
  calientes tradicional; Avenida de la Paz, 5441; 18514; Sevilla; 967421; +34 666 569 456; 84; 12
  postres exotico; Plaza de Espanya, 9401; 66792; Malaga; 776637; +34 666 160 456; 32; 59
  horneados vegano; Avenida de la Paz, 7471; 34797; Zaragoza; 395586; +34 666 409 456; 12; 58
  vegetarianos delicioso; Paseo de Gracia, 5981; 42179; Madrid; 416023; +34 666 359 456; 75; 97
  falafel casero; Avenida de la Paz, 5281; 55372; Madrid; 112611; +34 666 327 456; 61; 91
  guisos diferente; Plaza de Espanya, 801; 61882; Madrid; 656275; +34 666 576 456; 85; 24
  verduras original; Paseo de Gracia, 7041; 31804; Bilbao; 648015; +34 666 592 456; 92; 41
  pescado economico; Paseo de Gracia, 181; 27136; Murcia; 979133; +34 666 818 456; 93; 96
  salados sabroso; Calle Mayor, 5041; 28382; Alicante; 471134; +34 666 946 456; 29; 21
  picantes creativo; Plaza del Sol, 1391; 44595; Madrid; 763173; +34 666 71 456; 10; 37
  falafel exotico; Calle Mayor, 2291; 21784; Sevilla; 338650; +34 666 639 456; 8; 89
  verduras creativo; Plaza del Sol, 3491; 37488; Alicante; 922242; +34 666 633 456; 77; 78
  veganos sano; Plaza de Espanya, 2471; 43718; Madrid; 223600; +34 666 371 456; 9; 15
  dulces fresco; Plaza del Sol, 2251; 42755; Valencia; 575091; +34 666 402 456; 47; 33
  sushi delicioso; Plaza de Espanya, 4521; 68927; Malaga; 906732; +34 666 92 456; 77; 52
  dulces exquisito; Plaza de Espanya, 7431; 67189; Bilbao; 898574; +34 666 779 456; 85; 65
  pizzeria diferente; Plaza de Espanya, 8231; 19184; Madrid; 92736; +34 666 132 456; 94; 97
  veganos exquisito; Plaza del Sol, 2541; 37846; Bilbao; 427549; +34 666 802 456; 39; 3
  picantes innovador; Avenida de la Paz, 5911; 27049; Sevilla; 911651; +34 666 352 456; 78; 14
  vegetarianos familiar; Plaza de Espanya, 4491; 35996; Barcelona; 856200; +34 666 561 456; 71; 93
  frutas moderno; Plaza de Espanya, 1441; 40823; Barcelona; 936650; +34 666 567 456; 99; 16
  picantes moderno; Paseo de Gracia, 8281; 20110; Murcia; 871374; +34 666 500 456; 24; 92
  bar delicioso; Plaza de Espanya, 4791; 12805; Bilbao; 906705; +34 666 935 456; 42; 79
  sushi tentador; Paseo de Gracia, 8711; 12936; Alicante; 840674; +34 666 714 456; 7; 92
  pescado original; Plaza de Espanya, 3781; 66252; Barcelona; 136330; +34 666 510 456; 93; 29
  restaurante familiar; Plaza de Espanya, 5461; 30428; Murcia; 644135; +34 666 479 456; 12; 99
  frutas sano; Plaza de Espanya, 7081; 32566; Murcia; 713890; +34 666 468 456; 62; 66
  pizzeria exotico; Avenida de la Paz, 1591; 64513; Valencia; 426147; +34 666 741 456; 89; 39
  fritas atractivo; Plaza del Sol, 7721; 32324; Sevilla; 350198; +34 666 620 456; 76; 69
  falafel rico; Plaza de Espanya, 5101; 17030; Valencia; 991335; +34 666 154 456; 25; 27
  pollo moderno; Paseo de Gracia, 8681; 66221; Bilbao; 993600; +34 666 888 456; 92; 9
  restaurante exquisito; Calle Mayor, 6191; 35201; Bilbao; 208915; +34 666 889 456; 97; 35
  frutas moderno; Avenida de la Paz, 1891; 51133; Sevilla; 875319; +34 666 259 456; 5; 18
  pescado tentador; Calle Mayor, 9441; 47852; Zaragoza; 838707; +34 666 102 456; 79; 71
  verduras exotico; Paseo de Gracia, 6671; 56886; Zaragoza; 12034; +34 666 825 456; 13; 12
  pizzeria atractivo; Calle Mayor, 4881; 24929; Malaga; 512512; +34 666 210 456; 88; 81
  pollo seductor; Plaza del Sol, 541; 16772; Alicante; 11380; +34 666 154 456; 74; 19
  sopas economico; Paseo de Gracia, 1851; 55554; Barcelona; 765694; +34 666 974 456; 57; 72
  picantes creativo; Plaza de Espanya, 4391; 31145; Barcelona; 910146; +34 666 544 456; 13; 80
  picantes con encanto; Calle Mayor, 8111; 54881; Sevilla; 521503; +34 666 553 456; 71; 97
  vegetarianos delicioso; Calle Mayor, 8491; 35710; Alicante; 690725; +34 666 231 456; 29; 22
  pescado delicioso; Avenida de la Paz, 6591; 46554; Valencia; 876492; +34 666 901 456; 41; 54
  carne sano; Paseo de Gracia, 6031; 26070; Barcelona; 698771; +34 666 422 456; 40; 100
  pizzeria rico; Paseo de Gracia, 4031; 27727; Sevilla; 73758; +34 666 871 456; 8; 92
  ensaladas diferente; Calle Mayor, 7421; 60211; Zaragoza; 785369; +34 666 625 456; 38; 5
  dulces vegetariano; Paseo de Gracia, 7021; 13068; Madrid; 946578; +34 666 609 456; 82; 70
  salados delicioso; Avenida de la Paz, 7021; 11051; Zaragoza; 462683; +34 666 556 456; 21; 21
  fritas fresco; Plaza de Espanya, 1421; 39081; Madrid; 240721; +34 666 117 456; 62; 55
  restaurante familiar; Paseo de Gracia, 2111; 51757; Sevilla; 51531; +34 666 9 456; 69; 54
  frios exquisito; Calle Mayor, 9941; 57912; Malaga; 507685; +34 666 673 456; 69; 50
  pescado creativo; Avenida de la Paz, 2661; 58312; Bilbao; 947340; +34 666 672 456; 78; 58
  frios tradicional; Calle Mayor, 981; 63586; Barcelona; 577249; +34 666 358 456; 6; 71
  verduras nutritivo; Paseo de Gracia, 9281; 30749; Barcelona; 939280; +34 666 504 456; 77; 80
  bar sabroso; Calle Mayor, 1431; 51580; Alicante; 345234; +34 666 106 456; 30; 55
  frutas apetitoso; Plaza de Espanya, 3151; 42613; Murcia; 241901; +34 666 316 456; 57; 61
  vegetarianos exquisito; Plaza de Espanya, 5131; 18121; Zaragoza; 203269; +34 666 670 456; 82; 19
  vegetarianos economico; Calle Mayor, 7491; 38796; Barcelona; 972276; +34 666 292 456; 84; 49
  carne moderno; Plaza de Espanya, 4341; 47380; Murcia; 408620; +34 666 554 456; 62; 16
  sushi apetitoso; Plaza de Espanya, 291; 35051; Alicante; 1012; +34 666 565 456; 21; 80
  cafeteria familiar; Plaza de Espanya, 7601; 33977; Valencia; 188792; +34 666 243 456; 49; 87
  horneados creativo; Paseo de Gracia, 6081; 12907; Valencia; 632446; +34 666 198 456; 71; 52
  sushi vegetariano; Plaza de Espanya, 2241; 32951; Malaga; 15622; +34 666 111 456; 22; 60
  tacos sabroso; Paseo de Gracia, 9311; 57400; Alicante; 230827; +34 666 582 456; 4; 53
  carne con encanto; Calle Mayor, 6721; 30067; Alicante; 307761; +34 666 346 456; 38; 83
  pizzeria moderno; Calle Mayor, 9811; 34774; Valencia; 767039; +34 666 754 456; 22; 93
  restaurante vegano; Paseo de Gracia, 2791; 55107; Zaragoza; 699560; +34 666 230 456; 80; 18
  pollo rico; Plaza del Sol, 6081; 56000; Barcelona; 617394; +34 666 313 456; 80; 73
  falafel rico; Avenida de la Paz, 3501; 39100; Bilbao; 172244; +34 666 555 456; 75; 65
  carne delicioso; Avenida de la Paz, 5931; 42547; Zaragoza; 638858; +34 666 733 456; 51; 5
  fritas familiar; Avenida de la Paz, 8841; 61809; Barcelona; 11452; +34 666 615 456; 23; 60
  sushi creativo; Avenida de la Paz, 731; 35262; Malaga; 506370; +34 666 359 456; 15; 93
  bar vegetariano; Avenida de la Paz, 3761; 28560; Bilbao; 130958; +34 666 992 456; 87; 25
  sopas moderno; Plaza del Sol, 8081; 17013; Alicante; 524567; +34 666 210 456; 99; 8
  guisos atractivo; Plaza de Espanya, 2541; 48399; Alicante; 676423; +34 666 279 456; 25; 100
  pizzeria seductor; Plaza del Sol, 1011; 22306; Sevilla; 369514; +34 666 7 456; 51; 2
  verduras vegetariano; Avenida de la Paz, 9071; 31426; Murcia; 102701; +34 666 385 456; 74; 69
  carne sano; Avenida de la Paz, 9631; 66210; Murcia; 943625; +34 666 432 456; 32; 79
  fritas innovador; Avenida de la Paz, 1761; 34750; Alicante; 402661; +34 666 939 456; 63; 58
  pollo creativo; Avenida de la Paz, 7591; 51239; Madrid; 922520; +34 666 348 456; 66; 3
  picantes sabroso; Avenida de la Paz, 4101; 28596; Malaga; 452055; +34 666 247 456; 62; 65
  dulces diferente; Avenida de la Paz, 1811; 36982; Barcelona; 342801; +34 666 41 456; 24; 57
  pizzeria tentador; Avenida de la Paz, 9821; 15119; Bilbao; 136397; +34 666 672 456; 56; 69
  picantes atractivo; Plaza de Espanya, 2391; 32920; Malaga; 928326; +34 666 417 456; 15; 36
  falafel economico; Plaza de Espanya, 6211; 27280; Valencia; 39885; +34 666 363 456; 22; 14
  restaurante casero; Avenida de la Paz, 1691; 34037; Barcelona; 249552; +34 666 435 456; 82; 3
  dulces exquisito; Avenida de la Paz, 5481; 42198; Malaga; 433430; +34 666 244 456; 49; 43
  bar original; Paseo de Gracia, 6501; 63507; Zaragoza; 444165; +34 666 544 456; 92; 55
  dulces sabroso; Paseo de Gracia, 9611; 40083; Sevilla; 417708; +34 666 12 456; 69; 9
  tacos nutritivo; Avenida de la Paz, 5281; 32428; Alicante; 95246; +34 666 993 456; 4; 6
  guisos apetitoso; Plaza de Espanya, 6361; 41098; Malaga; 192535; +34 666 262 456; 50; 57
  hamburgueseria exotico; Calle Mayor, 3531; 54087; Murcia; 695142; +34 666 200 456; 14; 77
  tacos exotico; Calle Mayor, 7821; 62573; Valencia; 500686; +34 666 981 456; 24; 95
  pollo atractivo; Paseo de Gracia, 5861; 39015; Valencia; 967789; +34 666 915 456; 86; 68
  salados vegetariano; Plaza de Espanya, 6051; 62384; Valencia; 406820; +34 666 182 456; 40; 15
  bebidas sano; Calle Mayor, 1841; 61299; Barcelona; 429532; +34 666 287 456; 82; 9
  bar delicioso; Calle Mayor, 6751; 59834; Alicante; 651650; +34 666 384 456; 20; 40
  restaurante familiar; Avenida de la Paz, 2411; 28805; Barcelona; 834688; +34 666 353 456; 28; 18
  dulces exotico; Plaza de Espanya, 3421; 51393; Barcelona; 232890; +34 666 510 456; 86; 94
  hamburgueseria con encanto; Plaza del Sol, 4531; 21369; Sevilla; 857907; +34 666 330 456; 87; 15
  bebidas sano; Paseo de Gracia, 6011; 63640; Bilbao; 169677; +34 666 482 456; 61; 8
  restaurante gourmet; Plaza de Espanya, 3401; 12814; Madrid; 529238; +34 666 10 456; 61; 75
  cafeteria sabroso; Plaza de Espanya, 5351; 36022; Bilbao; 469302; +34 666 473 456; 49; 15
  verduras vegano; Calle Mayor, 5841; 58943; Malaga; 548806; +34 666 346 456; 91; 26
  picantes tentador; Avenida de la Paz, 5201; 40725; Sevilla; 380660; +34 666 561 456; 29; 4
  falafel economico; Plaza del Sol, 951; 35554; Bilbao; 632781; +34 666 161 456; 48; 55
  pollo original; Calle Mayor, 8371; 50077; Zaragoza; 692501; +34 666 119 456; 94; 47
  sopas con encanto; Plaza del Sol, 9171; 65841; Malaga; 685031; +34 666 574 456; 34; 73
  cafeteria vegano; Paseo de Gracia, 3931; 23015; Murcia; 243469; +34 666 495 456; 17; 54
  ensaladas casero; Plaza de Espanya, 3861; 18266; Murcia; 545368; +34 666 687 456; 15; 29
  postres exquisito; Avenida de la Paz, 2231; 43977; Alicante; 205985; +34 666 494 456; 53; 76
